City,State,Blurb,Crowd size estimate (low),Crow size estimate (high),Event Type,Source,y,x,Crowd Size (mean estimate)
Boise,ID,several thousand,3000,3000,protest,https://act.moveon.org/event/families-belong-together/20052/signup/?&source=&s=,43.6177795,-116.1996537,3000
Bonney Lake,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20435/signup/?source=&s=,47.176983,-122.186794,
Bordentown,NJ,video,24,36,vigil,https://act.moveon.org/event/families-belong-together_attend1/search/,40.1462213,-74.7118264,30
Boston,MA,about 5000; exceeded 15000,5000,15000,protest,https://act.moveon.org/event/families-belong-together/19872/signup/?source=&s=,42.3605761,-71.0594284,10000
Boston,MA,more than 100,100,100,protest,https://www.nbcboston.com/news/local/Police-20-Arrested-Outside-Prison-During-Boston-Protest-487061901.html,42.333811,-71.069501,100
Bothell,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20351/signup/?source=&s=,47.759927,-122.20769,
Boulder,CO,over 1000; at least 700,700,1000,protest,https://www.facebook.com/events/200340574123626/permalink/212049349619415/,40.0069206,-105.2326394,850
Boulder,CO,about 250,250,250,protest,https://act.moveon.org/event/families-belong-together/20617/signup/?akid=undefined&zip=&source=,39.995432,-105.232172,250
Boulder City,NV,na,25,25,protest,https://twitter.com/RoseAnnRabiolaM/status/1013818718088916992,35.9785912,-114.8324851,25
Bowling Green,KY,more than 200; around two hundred,200,200,protest,https://act.moveon.org/event/families-belong-together/20131/signup/?source=&s=,37.050337,-86.414723,200
Bowling Green,OH,200,200,200,protest,https://act.moveon.org/event/families-belong-together/20519/signup/?source=&s=,41.374787,-83.646129,200
Bozeman,MT,over 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20624/signup/?source=&s=,45.678395,-111.0271794,300
Brainerd,MN,FB: 31,31,31,protest,https://act.moveon.org/event/families-belong-together/20819/signup/?source=&s=,46.35987,-94.190119,31
Brattleboro,VT,,,,protest,https://act.moveon.org/event/families-belong-together/20421/signup/?source=&s=,42.8554958,-72.6075702,
Bremerton,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20412/signup/?source=&s=,47.566945,-122.630219,
Brenham,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20008/signup/?source=&s=,30.152283,-96.308481,
Brewster,MA,na,200,200,protest,https://act.moveon.org/event/families-belong-together/20576/signup/?source=&s=,41.765797,-70.063845,200
Bridgeport,PA,,,,protest,https://act.moveon.org/event/families-belong-together/20028/signup/?source=&s=,40.151179,-79.544579,
Bridgeton,NJ,dozens; nearly 150,24,150,protest,https://act.moveon.org/event/families-belong-together/20592/signup/?source=&s=,39.4269468,-75.2391381,87
Bridgewater,MA,about 25,25,25,protest,http://www.enterprisenews.com/news/20180630/wearing-white-wielding-signs----bridgewater-residents-protest-trumps-immigration-policies,41.9892633,-70.9761733,25
Bristol,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20148/signup/?source=&s=,32.608938,-96.875782,
Brookline,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20890/signup/?source=&s=,42.3317642,-71.1211635,
Brooklyn,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,40.6501038,-73.9495823,
Brownsville,TX,FB: 1200,1200,1200,protest,https://act.moveon.org/event/families-belong-together/20248/signup/?source=&s=,25.98132,-97.516499,1200
Brunswick,GA,FB: 73,73,73,protest,https://www.facebook.com/events/1821679614807027/,45.9635058,-66.6431389,73
Brunswick,ME,250 or so,250,250,protest,https://act.moveon.org/event/families-belong-together/20503/signup/?source=&s=,43.9106285,-69.9667301,250
Bryan,TX,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20625/signup/?source=&s=,30.674456,-96.38038,200
Buchanan,TN,,,,protest,https://act.moveon.org/event/families-belong-together/20345/signup/?source=&s=,36.4369999,-88.2083713,
Buffalo,NY,estimated at 1500 to 2500,1500,2500,protest,https://act.moveon.org/event/families-belong-together/19838/signup/?source=&s=,42.915221,-78.900748,2000
Burbank,CA,,,,protest,https://twitter.com/oscafidi/status/1013137219974934528,34.1816482,-118.3258554,
Burlington,NC,na,250,250,protest,https://act.moveon.org/event/families-belong-together/20510/signup/?source=&s=,36.088116,-79.445901,250
Burlington,NC,about 80,80,80,protest,http://www.thetimesnews.com/article/20180630/NEWS/180639887,36.07918,-79.547219,80
Burlington,VT,,,,protest,https://act.moveon.org/event/families-belong-together/20526/signup/?source=&s=,44.474592,-73.218593,
Buzzards Bay,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20572/signup/?source=&s=,41.759585,-70.604591,
Calexico,CA,approximately 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20556/signup/?source=&s=,32.67895,-115.49888,50
Camarillo,CA,FB: 191,191,191,protest,https://www.facebook.com/events/237543150170377/,34.2213612,-119.0646242,191
Canton,NY,about 145,145,145,protest,https://act.moveon.org/event/families-belong-together/20039/signup/?source=&s=,41.8247916,-72.8948085,145
Cape May,NJ,picture,12,24,protest,https://act.moveon.org/event/families-belong-together_attend1/search/,39.270413,-74.865747,18
Carbondale,IL,FB: 63,63,63,protest,https://act.moveon.org/event/families-belong-together/20706/signup/?source=&s=,37.696685,-89.205981,63
Carlsbad,CA,nearly 1000,1000,1000,protest,https://timesofsandiego.com/politics/2018/06/30/children-are-crying-thousands-march-downtown-anew-against-trump-border-policies/,33.13311,-117.335366,1000
Carlsbad,NM,approx 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20620/signup/?source=&s=,32.420332,-104.228977,100
Carpinteria,CA,FB:  9,9,9,protest,https://act.moveon.org/event/families-belong-together/20696/signup/?source=&s=,34.405045,-119.520525,9
Casper,WY,dozens,24,24,protest,https://oilcitywyo.com/politics/2018/06/30/casper-protesters-gather-in-support-of-separated-immigrant-families/,42.866632,-106.313081,24
Cedar Falls,IA,more than 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20784/signup/?source=&s=,40.637112,-91.73589,100
Cedar Rapids,IA,FB: 77,77,77,protest,https://act.moveon.org/event/families-belong-together/20453/signup/?source=&s=,41.965692,-91.6592672,77
Chadron,NE,about 75,75,75,protest,https://act.moveon.org/event/families-belong-together/20165/signup/?source=&s=,42.774479,-103.138479,75
Champaign,IL,FB: 217,217,217,protest,https://www.facebook.com/events/194005744773697/,40.11642,-88.24338,217
Chandler,AZ,,,,protest,https://act.moveon.org/event/families-belong-together/20599/signup/?source=&s=,33.223599,-111.707826,
Chapel Hill,NC,video,24,24,protest,https://act.moveon.org/event/families-belong-together/20661/signup/?source=&s=,33.401214,-86.792129,24
Charleston,SC,about 400,400,400,protest,https://act.moveon.org/event/families-belong-together/20288/signup/?source=&s=,32.801138,-80.089582,400
Charlotte,NC,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19885/signup/?source=&s=,35.2277757,-80.8363383,200
Charlottesville,VA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20304/signup/?source=&s=,38.0347903,-78.4838383,200
Chatham,MA,about 75,75,75,protest,https://act.moveon.org/event/families-belong-together/20872/signup/?source=&s=,41.6842,-69.959408,75
Chattanooga,TN,,,,protest,https://act.moveon.org/event/families-belong-together/20266/signup/?source=&s=,35.019421,-85.405051,
Chicago,IL,na,50000,60000,protest,https://act.moveon.org/event/families-belong-together/20046/signup/?source=&s=,41.8841855,-87.630188,55000
Chico,CA,hundreds,200,200,protest,https://www.chicoer.com/2018/06/30/families-belong-together-rallies-against-immigration-policy/,39.7283065,-121.8388675,200
Cincinnati,OH,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20025/signup/?source=&s=,39.1090246,-84.5174613,200
Claremont,CA,hundreds; 700-1000,200,1000,protest,https://act.moveon.org/event/families-belong-together/20687/signup/?source=&s=,34.1025625,-117.7193422,600
Clermont,FL,FB: 29,29,60,protest,https://act.moveon.org/event/families-belong-together/20276/signup/?source=&s=,28.548057,-81.753631,44.5
Cleveland,OH,about 3000,3000,3000,protest,https://act.moveon.org/event/families-belong-together/19893/signup/?source=&s=,41.4842652,-81.7038807,3000
Clifton,NJ,several hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/20013/signup/?source=&s=,40.8818603,-74.1494599,300
Cobleskill,NY,na,100,100,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,42.676338,-74.487062,100
Coeur d'Alene,ID,,347,347,protest,https://act.moveon.org/event/families-belong-together/20111/signup/?source=&s=,47.675174,-116.784064,347
Colorado Springs,CO,roughly 400,400,400,protest,https://act.moveon.org/event/families-belong-together/19899/signup/?source=&s=,38.820402,-104.733976,400
Colrain,MA,,,,protest,https://act.moveon.org/event/families-belong-together/21010/signup/?source=&s=,42.6731396,-72.6967587,
Columbia,MO,approximately 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20235/signup/?source=&s=,38.9531217,-92.3290104,500
Columbia,SC,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19904/signup/?source=&s=,34.000322,-81.0330376,200
Columbus,OH,about 2000,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19888/signup/?source=&s=,39.9613471,-82.9988301,2000
Columbus,NM,about 50,50,50,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,31.864729,-107.65071,50
Concord,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20193/signup/?source=&s=,37.9773377,-122.0338446,
Concord,NH,FB: 228,228,228,protest,https://act.moveon.org/event/families-belong-together/20452/signup/?source=&s=,43.204321,-71.537376,228
Conway,NH,picture,6,12,protest,https://act.moveon.org/event/families-belong-together/20528/signup/?source=&s=,43.994209,-71.039381,9
Conway,NC,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,35.0886963,-92.4421011,
Cookeville,TN,,,,protest,https://act.moveon.org/event/families-belong-together/20281/signup/?source=&s=,36.273839,-85.386151,
Cooperstown,NY,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20155/signup/?source=&s=,42.640789,-74.026175,200
Coos Bay,OR,more than a hundred,100,100,protest,https://act.moveon.org/event/families-belong-together/20191/signup/?source=&s=,43.215143,-124.198358,100
Corpus Christi,TX,more than a hundred,100,100,protest,https://act.moveon.org/event/families-belong-together/20183/signup/?source=&s=,27.7706373,-97.388394,100
Cortland,NY,about 100,100,100,protest,https://twitter.com/IndivisibleCort/status/1013122449066676225,42.595211,-76.168071,100
Corvallis,OR,,,,protest,https://act.moveon.org/event/families-belong-together/,44.5645659,-123.2620435,
Coupeville,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20252/signup/?source=&s=,48.217338,-122.6846941,
Covington,LA,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20454/signup/?source=&s=,30.54439,-90.069976,200
Cranston,RI,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20499/signup/?source=&s=,41.784718,-71.454662,24
Crawfordville,FL,around 30,30,30,protest,https://act.moveon.org/event/families-belong-together/20035/signup/?source=&s=,30.076599,-83.5634,30
Cumberland,MD,na; partial count from pic,70,70,protest,https://act.moveon.org/event/families-belong-together/19878/signup/?source=&s=,39.693367,-78.649118,70
Dade City,FL,,,72,protest,https://act.moveon.org/event/families-belong-together/20560/signup/?source=&s=,28.08442,-81.822366,72
Dallas,TX,na; estimated 3000,2500,3000,protest,https://act.moveon.org/event/families-belong-together/19927/signup/?source=&s=,32.7762715,-96.7969417,2750
Dallas,TX,about 80,80,80,protest,https://www.dallasnews.com/news/immigration/2018/06/30/dallas-rally-immigrant-separation-will-draw-least-1000-protesters-organizer-says,32.781559,-96.811567,80
Dalton,GA,about 100,100,100,protest,http://www.dailycitizen.news/news/local_news/dozens-gather-for-families-belong-together-protest-in-at-delray/article_a29acb32-5bf4-5cf1-b0ff-a0fb524394e6.html,34.760964,-85.002096,100
Damariscotta,ME,,,,protest,https://act.moveon.org/event/families-belong-together/20318/signup/?source=&s=,44.035283,-69.537277,
Darlington,SC,,,,protest,https://act.moveon.org/event/families-belong-together/19911/signup/?source=&s=,34.298798,-79.873054,
Dartmouth,MA,more than 150,150,150,protest,https://dartmouth.villagesoup.com/p/keep-families-together-protest-held-outside-sheriffs-office/1760569,41.860398,-71.230582,150
Davenport,IA,about 400; around 600,400,600,protest,https://act.moveon.org/event/families-belong-together/20489/signup/?source=&s=,41.5445245,-90.5748904,500
Davidson,NC,,,,protest,https://act.moveon.org/event/families-belong-together/20470/signup/?source=&s=,35.498788,-80.861358,
Dayton,OH,,,,protest,https://act.moveon.org/event/families-belong-together/19895/signup/?source=&s=,39.661279,-84.135324,
Daytona Beach,FL,some 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20007/signup/?source=&s=,29.2125961,-81.0187596,200
Deep River,CT,na,200,200,protest,https://act.moveon.org/event/families-belong-together/20268/signup/?source=&s=,41.3856546,-72.4356422,200
Deland,FL,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20108/signup/?source=&s=,29.072346,-81.342815,200
Delaware,OH,,,,protest,https://act.moveon.org/event/families-belong-together/20539/signup/?source=&s=,40.2960729,-83.0720694,
Dennis,MA,about 165,165,165,protest,https://act.moveon.org/event/families-belong-together/20665/signup/?source=&s=,41.730314,-70.201409,165
Denton,TX,FB: 232,232,232,protest,https://act.moveon.org/event/families-belong-together/20010/signup/?source=&s=,33.21826,-97.13914,232
Denver,CO,over 4000,4000,4000,protest,https://act.moveon.org/event/families-belong-together/19919/signup/?&source=&s=,39.738889,-104.9858955,4000
Des Moines,IA,several hundred; FB 380,300,380,protest,https://act.moveon.org/event/families-belong-together/20180/signup/?source=&s=,41.5912068,-93.6038257,340
Detroit,MI,hundreds; more than 250,200,250,protest,https://act.moveon.org/event/families-belong-together/19936/signup/?&source=&s=,42.3273745,-83.0445268,225
Detroit,MI,some 1200 to 1500,1200,1500,protest,https://act.moveon.org/event/families-belong-together/19976/signup/?&source=&s=,42.3175277,-83.0926706,1350
Detroit Lakes,MN,about 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20752/signup/?source=&s=,46.836521,-95.851823,100
Dodge City,KS,about 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20612/signup/?source=&s=,37.781245,-100.03766,100
Dothan,AL,na,18,18,protest,https://act.moveon.org/event/families-belong-together/20748/signup/?source=&s=,31.228863,-85.434423,18
Dover,DE,several hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/20521/signup/?source=&s=,39.1569402,-75.5212268,300
Doylestown,PA,,,,protest,https://act.moveon.org/event/families-belong-together/20009/signup/?source=&s=,40.318973,-75.076931,
Dublin,CA,na,400,400,protest,https://act.moveon.org/event/families-belong-together/20082/signup/?source=&s=,37.8051719,-122.2718787,400
Duluth,MN,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20773/signup/?source=&s=,46.745851,-92.2393,200
Dunkirk,NY,a large crowd,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,42.4807948,-79.3313714,
Durango,CO,FB: 30,30,30,protest,https://act.moveon.org/event/families-belong-together/20575/signup/?source=&s=,37.2770891,-107.8790517,30
Durham ,NC,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,36.0181316,-78.8751582,
East Haddam,CT,75 to 100,75,100,protest,https://act.moveon.org/event/families-belong-together/20691/signup/?source=&s=,41.4639101,-72.443102,87.5
East Meadow,NY,na,30,40,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,40.666815,-73.719365,35
East Quogue,NY,,,,protest,https://act.moveon.org/event/families-belong-together/19973/signup/?source=&s=,40.822354,-72.61613,
East Setauket,NY,,,,protest,http://longisland.news12.com/story/38547944/long-islanders-take-part-in-protests-over-immigration-policies,40.9418427,-73.1058559,
Eastham,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20667/signup/?source=&s=,41.8305187,-69.974527,
Easthampton,MA,video,55,55,protest,https://act.moveon.org/event/families-belong-together/20341/signup/?source=&s=,42.249693,-72.67952,55
Eau Claire,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20399/signup/?source=&s=,44.81198,-91.5015,
Edinburg,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20049/signup/?source=&s=,26.360248,-98.301187,
Edison,NJ,picture,14,14,protest,https://act.moveon.org/event/families-belong-together/20298/signup/?source=&s=,40.5766481,-74.3756513,14
Edwards,CO,FB: 17,17,17,protest,https://act.moveon.org/event/families-belong-together/20702/signup/?source=&s=,39.646027,-106.592318,17
El Cajon,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20675/signup/?source=&s=,32.784216,-116.978971,
El Paso,TX,about 1500,1500,1500,protest,https://act.moveon.org/event/families-belong-together/20092/signup/?source=&s=,33.10964,-95.59477,1500
Elgin,IL,at least 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20405/signup/?source=&s=,42.035295,-88.282668,150
Ellensburg,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20371/signup/?source=&s=,46.995423,-120.547206,
Elmira,NY,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20500/signup/?source=&s=,42.0894227,-76.8079725,24
Encinitas,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20330/signup/?source=&s=,33.045034,-117.283975,
Englewood,NJ,about 100,100,100,protest,https://www.app.com/story/news/new-jersey/2018/06/30/new-jersey-rallies-protest-families-being-separated-border/742305002/,40.8174675,-74.2099826,100
Essex Junction,VT,,,,protest,https://act.moveon.org/event/families-belong-together/20544/signup/?source=&s=,44.49061,-73.11096,
Eugene,OR,,,,protest,https://act.moveon.org/event/families-belong-together/19839/signup/?source=&s=,44.049368,-123.094271,
Eureka,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20083/signup/?source=&s=,40.8020712,-124.1636729,
Evansville,IN,more than 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20343/signup/?source=&s=,38.06208,-87.517028,200
